Textbox12
29/05/2025

Caption1,StockTypeName1,TotDiaWt2,RepairReceiveAmt1,PurchaseValue1,Textbox20
Alphaa Ventures-ALM,APPROVAL,138.932,115.00,"158,548.34",138.932
Alphaa Ventures-ALM,CUSTOMER ORDER,0.234,115.00,"158,548.34",0.234
Alphaa Ventures-ALM,STOCK ORDER,6.686,115.00,"158,548.34",6.686

Textbox4,Caption,Stylecode,InwardDate,Textbox15,Jewelcode,StockTypeName,SubItmName,TotDiaPc,TotDiaWt,GrossWt,RepairReceiveAmt,PurchaseValue
154,Alphaa Ventures-ALM,W-RI0000798,4/29/2025,30,161631,APPROVAL,SOLITAIRE RING LADIES,43,1.173,3.30,,
155,Alphaa Ventures-ALM,W-RI0000804,4/29/2025,30,161630,APPROVAL,LADIES RING,81,1.082,3.12,,
156,Alphaa Ventures-ALM,W-RI0000807,4/29/2025,30,161735,APPROVAL,GENTS RING,17,0.622,7.04,,
157,Alphaa Ventures-ALM,W-RI0000840,4/29/2025,30,161755,APPROVAL,LADIES RING,20,0.174,3.75,,
158,Alphaa Ventures-ALM,W-RI0000845,4/29/2025,30,161725,APPROVAL,COUPLE RING,15,0.226,5.43,,
159,Alphaa Ventures-ALM,W-RI0000859,4/29/2025,30,161759,APPROVAL,LADIES RING,9,0.321,1.70,,
160,Alphaa Ventures-ALM,W-RI0000860,4/29/2025,30,161754,APPROVAL,LADIES RING,18,0.192,1.81,,
161,Alphaa Ventures-ALM,W-RI0000862,4/29/2025,30,161753,APPROVAL,LADIES RING,9,0.084,2.14,,
162,Alphaa Ventures-ALM,W-RI0000865,4/29/2025,30,161752,APPROVAL,LADIES RING,18,0.279,2.92,,
163,Alphaa Ventures-ALM,W-RI0000867,4/29/2025,30,161785,APPROVAL,LADIES RING,25,0.171,2.28,,
164,Alphaa Ventures-ALM,W-RI0000868,4/29/2025,30,161784,APPROVAL,LADIES RING,19,0.198,1.87,,
165,Alphaa Ventures-ALM,W-RI0000874,4/29/2025,30,161734,APPROVAL,GENTS RING,9,0.266,9.47,,
166,Alphaa Ventures-ALM,W-RI0000914,4/29/2025,30,161751,APPROVAL,LADIES RING,49,0.334,6.16,,
167,Alphaa Ventures-ALM,W-RI0000944,4/29/2025,30,161733,APPROVAL,GENTS RING,36,0.228,9.80,,
168,Alphaa Ventures-ALM,W-RI0000945,4/29/2025,30,161783,APPROVAL,LADIES RING,11,0.083,1.92,,
169,Alphaa Ventures-ALM,W-RI0000957,4/29/2025,30,161626,APPROVAL,SOLITAIRE RING LADIES,6,1.003,4.32,,
170,Alphaa Ventures-ALM,W-RI0000962,4/29/2025,30,161628,APPROVAL,SOLITAIRE RING LADIES,7,0.418,3.48,,
171,Alphaa Ventures-ALM,W-RI0000966,4/29/2025,30,161782,APPROVAL,LADIES RING,20,0.215,3.23,,
172,Alphaa Ventures-ALM,W-RI0000969,4/29/2025,30,161781,APPROVAL,LADIES RING,21,0.172,2.87,,
173,Alphaa Ventures-ALM,W-RI0000973,4/29/2025,30,161627,APPROVAL,SOLITAIRE RING LADIES,15,0.917,3.06,,
174,Alphaa Ventures-ALM,W-RI0000982,4/29/2025,30,161732,APPROVAL,GENTS RING,1,0.700,6.46,,
175,Alphaa Ventures-ALM,W-RI0000988,4/29/2025,30,161780,APPROVAL,LADIES RING,19,0.211,3.38,,
176,Alphaa Ventures-ALM,W-RI0000991,4/29/2025,30,161779,APPROVAL,LADIES RING,10,0.075,1.37,,
177,Alphaa Ventures-ALM,W-RI0000992,4/29/2025,30,161778,APPROVAL,LADIES RING,9,0.155,2.09,,
178,Alphaa Ventures-ALM,W-RI0001010,4/29/2025,30,161777,APPROVAL,LADIES RING,22,0.145,2.63,,
179,Alphaa Ventures-ALM,W-RI0001020,4/29/2025,30,161624,APPROVAL,LADIES RING,21,0.663,3.38,,
180,Alphaa Ventures-ALM,W-RI0001031,4/29/2025,30,161731,APPROVAL,GENTS RING,5,0.198,9.38,,
181,Alphaa Ventures-ALM,W-RI0001052,4/29/2025,30,161776,APPROVAL,LADIES RING,37,0.462,2.50,,
182,Alphaa Ventures-ALM,W-RI0001061,4/29/2025,30,161765,APPROVAL,LADIES RING,40,1.066,5.49,,
183,Alphaa Ventures-ALM,W-RI0001072,4/29/2025,30,161749,APPROVAL,LADIES RING,21,0.320,2.62,,
184,Alphaa Ventures-ALM,W-RI0001084,4/29/2025,30,161748,APPROVAL,LADIES RING,40,0.296,2.62,,
185,Alphaa Ventures-ALM,W-RI0001090,4/29/2025,30,161772,APPROVAL,LADIES RING,6,0.137,2.42,,
186,Alphaa Ventures-ALM,W-RI0001152,4/29/2025,30,161771,APPROVAL,LADIES RING,9,0.148,3.12,,
187,Alphaa Ventures-ALM,W-RI0001158,4/29/2025,30,161764,APPROVAL,LADIES RING,97,0.803,5.54,,
188,Alphaa Ventures-ALM,W-RI0001173,4/29/2025,30,161763,APPROVAL,LADIES RING,86,0.730,5.15,,
189,Alphaa Ventures-ALM,W-RI0001182,4/29/2025,30,161770,APPROVAL,LADIES RING,11,0.086,1.49,,
190,Alphaa Ventures-ALM,W-RI0001191,4/29/2025,30,161769,APPROVAL,GENTS RING,13,0.088,2.80,,
191,Alphaa Ventures-ALM,W-RI0001193,4/29/2025,30,161768,APPROVAL,LADIES RING,19,0.216,2.39,,
192,Alphaa Ventures-ALM,W-RI0001195,4/29/2025,30,161766,APPROVAL,LADIES RING,47,0.866,5.88,,
193,Alphaa Ventures-ALM,W-SI0000005,4/29/2025,30,162047,APPROVAL,SIDE STUD,10,0.229,2.23,,
194,Alphaa Ventures-ALM,W-SI0000015,4/29/2025,30,162057,APPROVAL,SIDE STUD,10,0.115,1.16,,
195,Alphaa Ventures-ALM,W-SI0000022,4/29/2025,30,162055,APPROVAL,SIDE STUD,2,0.100,0.67,,
196,Alphaa Ventures-ALM,W-SI0000031,4/29/2025,30,162054,APPROVAL,SIDE STUD,12,0.216,1.06,,
197,Alphaa Ventures-ALM,W-SI0000043,4/29/2025,30,162053,APPROVAL,SIDE STUD,2,0.212,2.08,,
198,Alphaa Ventures-ALM,W-SI0000051,4/29/2025,30,162000,APPROVAL,SIDE STUD,8,0.079,0.85,,
199,Alphaa Ventures-ALM,W-SI0000053,4/29/2025,30,161997,APPROVAL,SIDE STUD,8,0.213,1.20,,
200,Alphaa Ventures-ALM,W-SI0000054,4/29/2025,30,161999,APPROVAL,SIDE STUD,6,0.112,1.31,,
201,Alphaa Ventures-ALM,W-SI0000058,4/29/2025,30,161998,APPROVAL,SIDE STUD,4,0.085,0.82,,
202,Alphaa Ventures-ALM,W-SI0000059,4/29/2025,30,161995,APPROVAL,SIDE STUD,10,0.096,1.54,,
203,Alphaa Ventures-ALM,W-SI0000061,4/29/2025,30,162025,APPROVAL,SIDE STUD,2,0.063,1.48,,
204,Alphaa Ventures-ALM,W-SI0000062,4/29/2025,30,162168,APPROVAL,SIDE STUD,20,0.362,1.78,,
205,Alphaa Ventures-ALM,W-SI0000068,4/29/2025,30,162024,APPROVAL,SIDE STUD,12,0.162,1.38,,
206,Alphaa Ventures-ALM,W-SI0000072,4/29/2025,30,162038,APPROVAL,SIDE STUD,8,0.083,0.75,,
